sector,price,bedRoom,bathroom,balcony,floorNum,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,property_type_house,agePossession_New Property,agePossession_Old Property,agePossession_Relatively New,agePossession_Under Construction,luxury_score_Low,luxury_score_Medium
65.0,2.5,3,3,3,19.0,1610.5726872246696,0,0,0,0,0,0,False,False,False,False,True,True,False
12.0,0.43,2,2,1,1.0,713.6563876651983,0,0,0,0,0,0,False,False,False,False,False,True,False
2.0,0.8,3,2,3,8.0,1440.0,0,0,0,0,0,0,False,False,False,False,False,True,False
9.0,0.45,3,3,2,18.0,881.0572687224669,0,0,0,0,0,0,False,False,False,False,True,True,False
108.0,0.7,2,2,1,10.0,1468.0,0,0,0,0,0,0,False,False,False,False,False,True,False
37.0,1.95,4,3,3,7.0,1650.0,0,0,0,0,0,0,False,False,False,False,True,True,False
90.0,0.45,2,2,1,2.0,741.7061611374407,0,0,0,0,0,1,False,True,False,False,False,True,False
79.0,1.7,3,2,3,10.0,1570.0,0,0,0,0,0,0,False,False,False,True,False,True,False
9.0,1.1,3,2,3,5.0,2132.701421800948,0,0,0,0,0,0,False,False,True,False,False,True,False
86.0,0.5,2,2,1,10.0,616.1137440758295,0,0,0,0,0,0,False,False,False,True,False,True,False
65.0,2.8,3,3,3,20.0,1867.0,0,0,0,0,0,0,False,False,False,False,True,False,True
33.0,1.45,3,2,3,20.0,118.0,1,0,0,0,0,0,False,False,False,False,True,False,True
61.0,2.2,3,3,2,3.0,1931.2796208530808,0,0,0,0,0,0,False,False,False,False,True,True,False
48.0,0.9,2,2,2,13.0,1.9790441176470588,0,0,0,0,0,2,False,False,False,True,False,False,True
95.0,0.4,2,2,2,3.0,609.0047393364929,0,0,0,0,0,1,False,True,False,False,False,True,False
77.0,1.35,3,3,3,7.0,1.9790441176470588,0,0,0,1,0,1,False,True,False,False,False,False,True
67.0,1.85,4,4,0,4.0,2725.1184834123223,0,0,0,0,0,0,False,True,False,False,False,True,False
95.0,0.25,1,1,1,4.0,334.80176211453744,0,0,0,0,0,0,False,True,False,False,False,True,False
89.0,0.88,2,2,3,2.0,1309.2417061611377,1,0,0,0,0,0,False,True,False,False,False,True,False
99.0,1.15,2,2,2,2.0,1202.6431718061674,0,0,0,0,1,1,False,True,False,False,False,False,True
18.0,1.6,3,3,3,4.0,1156.828193832599,0,0,0,0,0,0,False,False,False,False,False,True,False
99.0,0.85,2,2,2,3.0,1103.083700440529,0,0,0,0,0,0,False,True,False,False,False,True,False
82.0,0.75,2,2,2,1.0,1000.0,0,0,0,0,0,0,False,False,False,True,False,True,False
1.0,3.35,4,4,3,2.0,5331.75355450237,1,0,0,0,0,0,False,True,False,False,False,False,True
88.0,1.5,3,3,3,11.0,1629.955947136564,0,0,0,0,0,0,False,True,False,False,False,True,False
91.0,1.65,4,4,3,11.0,2082.819383259912,0,1,0,0,0,0,False,False,False,False,False,False,True
91.0,2.0,4,4,3,16.0,2402.643171806167,1,1,1,0,0,0,False,False,False,False,False,False,True
1.0,1.75,4,4,3,8.0,3317.5355450236966,0,1,0,0,0,0,False,True,False,False,False,True,False
68.0,0.9,2,2,2,1.0,1398.1042654028436,0,0,0,0,0,0,False,True,False,False,False,True,False
70.0,1.25,3,3,3,18.0,1643.171806167401,0,0,0,0,0,0,False,False,False,False,True,False,True
37.0,1.0,3,3,3,8.0,1821.090047393365,0,0,0,0,0,1,False,False,False,True,False,True,False
102.0,1.08,3,3,0,5.0,1758.0,0,0,0,0,0,0,False,False,False,False,True,True,False
85.0,2.15,3,5,3,2.0,2121.5859030837005,0,0,0,0,0,0,False,True,False,False,False,True,False
67.0,1.0,1,1,1,17.0,826.0,0,0,0,0,0,0,False,False,False,True,False,True,False
70.0,1.65,2,2,3,23.0,1111.8942731277532,0,0,0,0,0,0,False,True,False,False,False,False,True
90.0,1.79,4,3,3,10.0,2624.4075829383887,0,0,0,0,0,0,False,False,False,False,False,False,True
