property_type,sector,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,luxury_score
flat,113.0,1.5,1276.0,2,2,2,13.0,New Property,1124.229074889868,0,0,0,0,0,2,60
flat,104.0,0.9,1259.0,2,2,0,16.0,Relatively New,1259.0,0,0,0,0,0,2,0
flat,52.0,1.5,1640.0,4,4,3,3.0,Old Property,1444.9339207048458,0,0,0,0,0,2,65
flat,67.0,0.8,610.0,1,1,0,0.0,Relatively New,610.0,0,0,0,0,0,2,0
flat,86.0,1.25,1690.0,3,2,1,11.0,New Property,1488.9867841409691,0,0,0,0,0,2,45
flat,48.0,0.26,482.0,2,2,1,2.0,Relatively New,570.8437962085309,0,0,0,0,0,2,37
flat,48.0,0.42,531.0,2,2,1,12.0,New Property,629.1469194312797,0,0,0,0,0,2,54
flat,43.0,2.5,1935.0,3,3,2,2.0,New Property,189.4273127753304,0,0,0,0,0,2,0
flat,78.0,0.9,1950.0,3,3,2,1.0,Moderately Old,1900.0,0,1,1,0,0,2,65
flat,92.0,0.42,591.0,2,2,1,4.0,Relatively New,700.2369668246446,1,0,1,0,0,0,42
flat,107.0,0.5,650.0,2,2,1,11.0,Relatively New,481.057268722467,0,0,0,0,0,2,0
flat,79.0,0.9,1530.0,2,2,3,5.0,Relatively New,1450.0,1,0,0,0,0,2,53
flat,89.0,1.3,1910.0,3,3,3,1.0,New Property,2263.03317535545,0,1,0,0,0,2,35
flat,33.0,1.7,1789.0,3,3,3,12.0,Under Construction,1576.2114537444934,0,0,0,0,0,2,24
flat,92.0,1.25,2016.0,4,3,0,16.0,Under Construction,2040.0,0,0,0,0,0,2,49
flat,82.0,2.91,4343.0,4,4,3,6.0,Under Construction,4343.0,1,1,0,1,0,0,79
flat,12.0,1.15,2000.0,3,4,2,2.0,Old Property,2000.0,1,1,0,0,1,0,28
flat,89.0,1.2,958.0,3,3,3,3.0,Under Construction,1135.0710900473937,0,0,1,1,0,2,131
flat,48.0,1.5,1225.0,2,2,3,11.0,New Property,1451.4218009478673,0,0,0,0,0,2,44
flat,48.0,1.3,1751.0,3,3,3,10.0,Relatively New,1.9790441176470588,0,0,0,0,0,2,49
flat,104.0,1.75,1689.0,3,3,3,2.0,Under Construction,1488.1057268722466,0,0,0,0,0,2,30
flat,5.0,0.55,850.0,2,2,1,4.0,Relatively New,829.3838862559242,1,0,0,0,0,0,69
flat,65.0,2.5,1838.0,3,3,3,19.0,Under Construction,1610.5726872246696,0,0,0,0,0,2,0
flat,12.0,0.43,810.0,2,2,1,1.0,Moderately Old,713.6563876651983,0,0,0,0,0,2,7
flat,2.0,0.8,1440.0,3,2,3,8.0,Moderately Old,1440.0,0,0,0,0,0,2,0
flat,9.0,0.45,1000.0,3,3,2,18.0,Under Construction,881.0572687224669,0,0,0,0,0,2,0
flat,108.0,0.7,1500.0,2,2,1,10.0,Moderately Old,1468.0,0,0,0,0,0,2,0
flat,37.0,1.95,1350.0,4,3,3,7.0,Under Construction,1650.0,0,0,0,0,0,2,0
flat,90.0,0.45,626.0,2,2,1,2.0,New Property,741.7061611374407,0,0,0,0,0,0,42
flat,79.0,1.7,1570.0,3,2,3,10.0,Relatively New,1570.0,0,0,0,0,0,2,0
flat,9.0,1.1,1800.0,3,2,3,5.0,Old Property,2132.701421800948,0,0,0,0,0,2,42
flat,86.0,0.5,520.0,2,2,1,10.0,Relatively New,616.1137440758295,0,0,0,0,0,2,15
flat,65.0,2.8,1867.0,3,3,3,20.0,Under Construction,1867.0,0,0,0,0,0,2,91
flat,33.0,1.45,926.0,3,2,3,20.0,Under Construction,118.0,1,0,0,0,0,2,144
flat,61.0,2.2,1630.0,3,3,2,3.0,Under Construction,1931.2796208530808,0,0,0,0,0,2,16
flat,48.0,0.9,951.0,2,2,2,13.0,Relatively New,1.9790441176470588,0,0,0,0,0,1,120
flat,95.0,0.4,514.0,2,2,2,3.0,New Property,609.0047393364929,0,0,0,0,0,0,44
flat,77.0,1.35,1735.0,3,3,3,7.0,New Property,1.9790441176470588,0,0,0,1,0,0,96
flat,67.0,1.85,2300.0,4,4,0,4.0,New Property,2725.1184834123223,0,0,0,0,0,2,0
flat,95.0,0.25,380.0,1,1,1,4.0,New Property,334.80176211453744,0,0,0,0,0,2,0
flat,89.0,0.88,1105.0,2,2,3,2.0,New Property,1309.2417061611377,1,0,0,0,0,2,44
flat,99.0,1.15,1744.0,2,2,2,2.0,New Property,1202.6431718061674,0,0,0,0,1,0,72
flat,18.0,1.6,1313.0,3,3,3,4.0,Moderately Old,1156.828193832599,0,0,0,0,0,2,46
flat,99.0,0.85,1252.0,2,2,2,3.0,New Property,1103.083700440529,0,0,0,0,0,2,43
flat,82.0,0.75,1000.0,2,2,2,1.0,Relatively New,1000.0,0,0,0,0,0,2,0
flat,1.0,3.35,4500.0,4,4,3,2.0,New Property,5331.75355450237,1,0,0,0,0,2,66
flat,88.0,1.5,1850.0,3,3,3,11.0,New Property,1629.955947136564,0,0,0,0,0,2,39
flat,91.0,1.65,2600.0,4,4,3,11.0,Moderately Old,2082.819383259912,0,1,0,0,0,2,72
flat,91.0,2.0,2871.0,4,4,3,16.0,Moderately Old,2402.643171806167,1,1,1,0,0,2,65
flat,1.0,1.75,2800.0,4,4,3,8.0,New Property,3317.5355450236966,0,1,0,0,0,2,29
flat,68.0,0.9,1180.0,2,2,2,1.0,New Property,1398.1042654028436,0,0,0,0,0,2,44
flat,70.0,1.25,1865.0,3,3,3,18.0,Under Construction,1643.171806167401,0,0,0,0,0,2,51
flat,37.0,1.0,1537.0,3,3,3,8.0,Relatively New,1821.090047393365,0,0,0,0,0,0,49
flat,102.0,1.08,1756.0,3,3,0,5.0,Under Construction,1758.0,0,0,0,0,0,2,0
flat,85.0,2.15,2408.0,3,5,3,2.0,New Property,2121.5859030837005,0,0,0,0,0,2,0
flat,67.0,1.0,826.0,1,1,1,17.0,Relatively New,826.0,0,0,0,0,0,2,49
flat,70.0,1.65,1262.0,2,2,3,23.0,New Property,1111.8942731277532,0,0,0,0,0,2,81
flat,90.0,1.79,2215.0,4,3,3,10.0,Moderately Old,2624.4075829383887,0,0,0,0,0,2,63
flat,85.0,1.8,1370.0,3,3,3,30.0,Under Construction,150.82938388625593,0,0,0,0,0,2,45
flat,61.0,1.45,1430.0,3,3,3,4.0,Under Construction,1430.0,0,0,0,0,0,2,49
flat,21.0,0.22,465.0,1,1,1,2.0,Relatively New,1.9790441176470588,0,0,0,0,0,2,0
flat,7.0,0.36,700.0,2,2,1,0.0,Relatively New,700.0,0,0,0,0,0,2,0
flat,48.0,0.25,587.0,2,2,1,0.0,Relatively New,587.0,0,0,0,0,0,2,38
flat,79.0,1.15,1534.0,3,3,3,1.0,Under Construction,1200.0,1,0,0,0,0,2,0
flat,48.0,1.65,946.0,3,3,0,1.0,Relatively New,1120.8530805687203,0,0,0,0,0,2,0
flat,113.0,2.9,2298.0,4,4,3,11.0,Under Construction,2722.7488151658767,1,1,0,0,0,2,49
flat,92.0,0.6,1320.0,2,2,3,11.0,Under Construction,1162.9955947136564,0,0,0,0,1,2,23
flat,47.0,2.4,2400.0,3,3,0,0.0,Moderately Old,2843.6018957345973,0,0,0,0,0,0,22
flat,70.0,1.25,1262.0,2,2,3,19.0,Relatively New,1495.260663507109,0,0,0,0,0,2,0
flat,65.0,2.15,1433.0,2,2,3,28.0,Relatively New,1433.0,0,0,0,0,0,2,0
flat,48.0,0.29,730.0,2,2,1,4.0,Relatively New,743.0,0,0,0,0,0,2,0
flat,48.0,0.38,750.0,2,2,2,9.0,Relatively New,750.0,0,0,0,0,0,2,0
flat,53.0,1.5,1200.0,2,2,3,7.0,Under Construction,1200.0,0,0,0,0,0,2,0
flat,4.0,0.39,950.0,2,2,1,1.0,New Property,950.0,0,0,0,0,0,2,0
flat,99.0,1.6,2400.0,3,4,0,15.0,New Property,2400.0,0,0,0,0,0,2,0
flat,68.0,1.7,1999.0,4,4,3,2.0,New Property,1761.2334801762115,0,0,0,0,0,2,0
flat,54.0,3.25,2302.0,3,3,3,0.0,Old Property,2727.488151658768,0,0,1,0,0,0,120
flat,111.0,0.6,710.0,2,2,3,9.0,New Property,841.2322274881517,0,0,0,0,0,2,52
flat,95.0,0.27,1000.0,2,2,0,1.0,Relatively New,1.9790441176470588,0,0,0,0,0,2,0
flat,28.0,0.95,1069.0,2,1,1,1.0,Old Property,1266.5876777251185,0,0,0,0,0,2,59
flat,65.0,2.65,1433.0,2,2,3,4.0,New Property,1433.0,1,0,0,0,0,2,38
flat,79.0,0.36,471.0,2,2,1,4.0,New Property,546.0,0,0,0,0,0,2,60
flat,37.0,0.55,600.0,2,2,3,3.0,New Property,528.6343612334801,0,0,0,0,0,2,0
flat,89.0,1.32,780.0,3,3,3,1.0,Under Construction,924.170616113744,0,0,0,0,0,2,45
flat,99.0,0.59,1484.0,2,2,3,1.0,Under Construction,1103.228622907489,0,0,0,0,1,2,96
flat,4.0,0.45,956.0,2,2,1,5.0,Relatively New,1007.1090047393366,0,0,0,0,0,2,46
flat,37.0,0.9,1446.0,3,3,2,13.0,Relatively New,1185.0,0,0,0,0,0,1,37
flat,79.0,1.4,1400.0,2,2,2,4.0,Relatively New,1658.7677725118483,1,1,0,1,0,1,83
flat,48.0,0.95,1452.0,2,2,3,6.0,New Property,1.9790441176470588,1,0,0,0,0,0,0
flat,65.0,3.0,1667.0,3,3,3,20.0,Under Construction,1667.0,0,0,0,0,0,2,60
flat,65.0,3.67,2040.0,3,3,2,27.0,Under Construction,2040.0,0,1,0,0,0,2,43
flat,82.0,3.85,5133.0,5,6,3,6.0,New Property,6090.047393364929,0,1,1,0,0,2,148
flat,65.0,3.29,1828.0,3,3,3,33.0,New Property,1828.0,0,0,0,0,0,2,49
flat,65.0,2.33,1261.0,2,2,3,35.0,Under Construction,1111.0132158590309,0,0,0,0,0,0,49
flat,65.0,2.79,1969.0,3,3,3,26.0,New Property,1969.0,0,0,0,0,0,2,15
flat,41.0,3.4,2900.0,4,4,3,0.0,Relatively New,2900.0,0,0,0,0,0,2,0
flat,12.0,0.72,990.0,2,2,1,2.0,Relatively New,1172.9857819905214,0,0,0,0,1,0,16
flat,104.0,0.4,569.0,2,2,1,4.0,Relatively New,500.82956740088105,0,0,0,0,0,2,52
flat,95.0,0.56,1364.0,2,2,2,10.0,Relatively New,1201.7621145374449,0,0,0,0,0,0,60
flat,71.0,1.1,1620.0,3,3,3,11.0,Relatively New,1427.3127753303966,0,0,0,0,1,2,72
flat,37.0,0.71,1310.0,2,2,3,10.0,New Property,1100.0,0,0,0,0,1,2,38
flat,79.0,0.78,1295.0,2,2,3,0.0,New Property,1140.9691629955946,0,0,0,0,1,2,74
flat,37.0,0.4,680.0,2,2,3,3.0,Under Construction,805.6872037914692,0,0,0,0,0,2,126
flat,113.0,1.85,1579.0,3,2,2,7.0,New Property,1391.1894273127753,0,0,0,0,0,2,13
flat,102.0,1.1,903.0,2,2,1,8.0,Under Construction,795.5947136563876,0,0,0,0,0,2,105
flat,61.0,1.41,1151.0,2,2,2,2.0,Under Construction,1150.0,1,0,0,0,0,2,76
